identifier,permno/dscd,region
985,10986,usa
986,10987,usa
987,10988,usa
988,10989,usa
989,10990,usa
990,10991,usa
991,10992,usa
992,10993,usa
993,10994,usa
994,10995,usa
995,10996,usa
996,10997,usa
997,10998,usa
998,10999,usa
999,11000,usa
1000,11001,usa
1001,11002,usa
1002,11003,usa
1003,11004,usa
1004,11005,usa
1005,11006,usa
1006,11007,usa
1007,11008,usa
1008,11009,usa
1009,11010,usa
1010,11011,usa
1011,11012,usa
1012,11013,usa
1013,11014,usa
1014,11015,usa
1015,11016,usa
1016,11017,usa
1017,11018,usa
1018,11019,usa
1019,11020,usa
1020,11021,usa
1021,11022,usa
1022,11023,usa
1023,11024,usa
1024,11025,usa
1025,11026,usa
1026,11027,usa
1027,11028,usa
1028,11029,usa
1029,11030,usa
1030,11031,usa
1031,11032,usa
1032,11033,usa
1033,11034,usa
1034,11035,usa
1035,11036,usa
1036,11037,usa
1037,11038,usa
1038,11039,usa
1039,11040,usa
1040,11041,usa
1041,11042,usa
1042,11043,usa
1043,11044,usa
1044,11045,usa
1045,11046,usa
1046,11047,usa
1047,11048,usa
1048,11049,usa
1049,11050,usa
1050,11051,usa
1051,11052,usa
1052,11053,usa
1053,11054,usa
1054,11055,usa
1055,11056,usa
1056,11057,usa
1057,11058,usa
1058,11059,usa
1059,11060,usa
1060,11061,usa
1061,11062,usa
1062,11063,usa
1063,11064,usa
1064,11065,usa
1065,11066,usa
1066,11067,usa
1067,11068,usa
1068,11069,usa
1069,11070,usa
1070,11071,usa
1071,11072,usa
1072,11073,usa
1073,11074,usa
1074,11075,usa
1075,11076,usa
1076,11077,usa
1077,11078,usa
1078,11079,usa
1079,11080,usa
1080,11081,usa
1081,11082,usa
1082,11083,usa
1083,11084,usa
1084,11085,usa
1085,11086,usa
1086,11087,usa
1087,11088,usa
1088,11089,usa
1089,11090,usa
1090,11091,usa
1091,11092,usa
1092,11093,usa
1093,11094,usa
1094,11095,usa
1095,11096,usa
1096,11097,usa
1097,11098,usa
1098,11099,usa
1099,11100,usa
1100,11101,usa
1101,11102,usa
1102,11103,usa
1103,11104,usa
1104,11105,usa
1105,11106,usa
1106,11107,usa
1107,11108,usa
1108,11109,usa
1109,11110,usa
1110,11111,usa
1111,11112,usa
1112,11113,usa
1113,11114,usa
1114,11115,usa
1115,11116,usa
1116,11117,usa
1117,11118,usa
1118,11119,usa
1119,11120,usa
1120,11121,usa
1121,11122,usa
1122,11123,usa
1123,11124,usa
1124,11125,usa
1125,11126,usa
1126,11127,usa
1127,11128,usa
1128,11129,usa
1129,11130,usa
1130,11131,usa
1131,11132,usa
1132,11133,usa
1133,11134,usa
1134,11135,usa
1135,11136,usa
1136,11137,usa
1137,11138,usa
1138,11139,usa
1139,11140,usa
1140,11141,usa
1141,11142,usa
1142,11143,usa
1143,11144,usa
1144,11145,usa
1145,11146,usa
1146,11147,usa
1147,11148,usa
1148,11149,usa
1149,11150,usa
1150,11151,usa
1151,11152,usa
1152,11153,usa
1153,11154,usa
1154,11155,usa
1155,11156,usa
1156,11157,usa
1157,11158,usa
1158,11159,usa
1159,11160,usa
1160,11161,usa
1161,11162,usa
1162,11163,usa
1163,11164,usa
1164,11165,usa
1165,11166,usa
1166,11167,usa
1167,11168,usa
1168,11169,usa
1169,11170,usa
1170,11171,usa
1171,11172,usa
1172,11173,usa
1173,11174,usa
1174,11175,usa
1175,11176,usa
1176,11177,usa
1177,11178,usa
1178,11179,usa
1179,11180,usa
1180,11181,usa
1181,11182,usa
1182,11183,usa
1183,11184,usa
1184,11185,usa
1185,11186,usa
1186,11187,usa
1187,11188,usa
1188,11189,usa
1189,11190,usa
1190,11191,usa
1191,11192,usa
1192,11193,usa
1193,11194,usa
1194,11195,usa
1195,11196,usa
1196,11197,usa
1197,11198,usa
1198,11199,usa
1199,11200,usa
1200,11201,usa
1201,11202,usa
1202,11203,usa
1203,11204,usa
1204,11205,usa
1205,11206,usa
1206,11207,usa
1207,11208,usa
1208,11209,usa
1209,11210,usa
1210,11211,usa
1211,11212,usa
1212,11213,usa
1213,11214,usa
1214,11215,usa
1215,11216,usa
1216,11217,usa
1217,11218,usa
1218,11219,usa
1219,11220,usa
1220,11221,usa
1221,11222,usa
1222,11223,usa
1223,11224,usa
1224,11225,usa
1225,11226,usa
1226,11227,usa
1227,11228,usa
1228,11229,usa
1229,11230,usa
1230,11231,usa
1231,11232,usa
1232,11233,usa
1233,11234,usa
1234,11235,usa
1235,11236,usa
1236,11237,usa
1237,11238,usa
1238,11239,usa
1239,11240,usa
1240,11241,usa
1241,11242,usa
1242,11243,usa
1243,11244,usa
1244,11245,usa
1245,11246,usa
1246,11247,usa
1247,11248,usa
1248,11249,usa
1249,11250,usa
1250,11251,usa
1251,11252,usa
1252,11253,usa
1253,11255,usa
1254,11256,usa
1255,11257,usa
1256,11258,usa
1257,11259,usa
1258,11260,usa
1259,11261,usa
1260,11262,usa
1261,11263,usa
